Description,Price,Rating,ReviewCount,Url
"ASUS VivoBook S15 S532 Thin & Light Laptop, 15.6” FHD, Intel Core i5-10210U CPU, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Home, IR Camera, S532FA-DH55-GN, Moss Green-Metal",$772.99,4.5 out of 5 stars,114,https://www.amazon.com/ASUS-VivoBook-i5-10210U-S532FA-DH55-GN-Green-Metal/dp/B0812RCBHP/ref=sr_1_20?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-20
"EVOO 14.1” Ultra Slim Notebook - Elite Series, FHD Display, AMD Ryzen 5 3500U Processor with Radeon Vega 8 Graphics, 8GB RAM, 256GB SSD, HD Webcam, Windows 10 Home, Black",$599.99,5.0 out of 5 stars,4,https://www.amazon.com/EVOO-14-1-Ultra-Slim-Notebook/dp/B08KTVSD4V/ref=sr_1_21?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-21
"ASUS F512JA-AS34 VivoBook 15 Thin and Light Laptop, 15.6” FHD Display, Intel i3-1005G1 CPU, 8GB RAM, 128GB SSD, Backlit Keyboard, Fingerprint, Windows 10 Home in S Mode, Slate Gray",$485.00,4.5 out of 5 stars,"3,374",https://www.amazon.com/ASUS-F512JA-AS34-VivoBook-i3-1005G1-Fingerprint/dp/B0869L1326/ref=sr_1_22?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-22
"New HP 15.6"" HD Touchscreen Laptop Intel Core i3-1005G1 8GB DDR4 RAM 128GB SSD HDMI Bluetooth 802.11/b/g/n/ac Windows 10 15-dy1731ms Silver",$529.00,4.6 out of 5 stars,819,https://www.amazon.com/HP-Touchscreen-i3-1005G1-Bluetooth-15-dy1731ms/dp/B082358X13/ref=sr_1_23?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-23
"HP Pavilion x360 14"" FHD WLED Touchscreen 2-in-1 Convertible Laptop, Intel Quad-Core i5-8250U 1.60GHz up to 3.4GHz, 8GB DDR4, 256GB SSD, WiFi, Bluetooth, Webcam, HDMI, Fingerprint Reader, Windows 10",$664.90,4.4 out of 5 stars,164,https://www.amazon.com/HP-x360-Touchscreen-Convertible-Fingerprint/dp/B07VVJGFWV/ref=sr_1_25?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-25
"HP 14"" Touchscreen Laptop 8GB RAM, 128GB SSD, 8th Gen i3 HD Business Notebook, Dual-Core up to 3.90 GHZ Processor, USB Type-C, 1366x768, UHD 620 Graphic, HDMI, Bluetooth, Webcam, Energy Star, Win 10",$494.00,4.3 out of 5 stars,182,https://www.amazon.com/HP-Touchscreen-Dual-Core-Processor-Bluetooth/dp/B07XV8BWWK/ref=sr_1_26?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-26
"GPD MicroPC, 6-inch Handheld Industry Laptop Windows 10 Pro 8GB RAM/128GB ROM Portable PC Apply to Communication, Electric Power, Exploration, Mining, Archaeology, Business Services",$484.95,4.5 out of 5 stars,28,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01186683VCVK6PMQNPMF&url=%2FHandheld-Industry-Communication-Exploration-Archaeology%2Fdp%2FB07SWVZ9MB%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273237%26sr%3D8-27-spons%26psc%3D1&qualifier=1607273237&id=6093033113580757&widgetName=sp_mtf
"SAMSUNG XE350XBA-K01US Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi, Silver",$292.31,4.4 out of 5 stars,"1,603",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08889942801XSPKOFO1T&url=%2FSamsung-Chromebook-Processor-32Gb-Emmc-XE350XBA-K01US%2Fdp%2FB07XW266D9%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273237%26sr%3D8-28-spons%26psc%3D1&qualifier=1607273237&id=6093033113580757&widgetName=sp_mtf
"HP Elitebook 840 G1 14.0 Inch High Performanc Laptop Computer, Intel i5 4300U up to 2.9GHz, 16GB Memory, 256GB SSD, USB 3.0, Bluetooth, Window 10 Professional (Renewed)",$440.99,4.0 out of 5 stars,458,https://www.amazon.com/HP-840-G1-Professional-Refurbished/dp/B07C1HV2V1/ref=sr_1_30?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-30
"HP 2018 Elitebook 840 G1 14inch HD LED-backlit anti-glare Laptop Computer, Intel Dual-Core i5-4300U up to 2.9GHz, 8GB RAM, 500GB HDD, USB 3.0, Bluetooth, Window 10 Professional (Renewed)",$390.00,4.0 out of 5 stars,715,https://www.amazon.com/HP-Elitebook-840-G1-LED-Backlit/dp/B07CSQDR4N/ref=sr_1_31?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-31
"Dell Inspiron 15.6-inch HD Display Laptop PC, Intel Core i3-7130U 2.7GHz Processor, 8GB DDR4, 128GB SSD, Stereo Speakers, WiFi, Bluetooth, MaxxAudio, HDMI, No DVD, Intel HD Graphics 620, Windows 10",$572.88,4.3 out of 5 stars,76,https://www.amazon.com/Dell-Inspiron-15-6-inch-Processor-Bluetooth/dp/B07H9L93KW/ref=sr_1_32?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-32
"ASUS F512DA-EB51 VivoBook 15 Thin And Light Laptop, 15.6” Full HD, AMD Quad Core R5-3500U CPU, 8GB DDR4 RAM, 256GB PCIe SSD, AMD Radeon Vega 8 Graphics, Windows 10 Home,Slate Gray",$578.00,4.5 out of 5 stars,"1,583",https://www.amazon.com/ASUS-VivoBook-R5-3500U-Graphics-F512DA-EB51/dp/B07QQB7552/ref=sr_1_33?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-33
"2020 Dell G3 15.6"" Full HD 1080p Gaming Laptop PC, Intel Core i5-10300H Quad-Core Processor, 8GB DDR4 RAM, 256GB SSD, NVIDIA GeForce GTX 1650 4GB, Backlit Keyboard, HDMI, 3D Audio, Windows 10, Black",$759.00,,,https://www.amazon.com/Dell-i5-10300H-Quad-Core-Processor-Keyboard/dp/B08NFFSRXL/ref=sr_1_34?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-34
"2019 Newest Lenovo Ideapad 330S 15.6” HD Narrow-bezels Widescreen Laptop, Intel Core i3-8130U Processor up to 3.40GHz, 8GB RAM, 256GB Solid State Drive, HDMI, Wireless-AC, Bluetooth, Windows 10, Blue",$539.99,4.5 out of 5 stars,224,https://www.amazon.com/Lenovo-Ideapad-Narrow-bezels-Widescreen-Wireless-AC/dp/B07ZMQVQHG/ref=sr_1_35?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-35
"Asus X512DA-BTS2020RL 15.6"" Full HD Laptop – AMD Ryzen 5 - AMD Radeon Vega 8 - 512GB PCIe SSD – 8GB RAM",$550.00,4.7 out of 5 stars,18,https://www.amazon.com/Asus-X512DA-BTS2020RL-15-6-Full-Laptop/dp/B08G8SJZ2R/ref=sr_1_36?dchild=1&keywords=laptop+8gb&qid=1607273237&sr=8-36
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",$279.99,4.3 out of 5 stars,"1,365",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A02462043Y29RA0LA3E3&url=%2FLenovo-Chromebook-MediaTek-Processor-81JW0000US%2Fdp%2FB07GLV1VC7%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273237%26sr%3D8-37-spons%26psc%3D1&qualifier=1607273237&id=6093033113580757&widgetName=sp_btf
"2020 15.6 inch Laptop, IPS Display, Intel 64-bit Quad-core celeron_j3455 Processor, 6GB RAM, 256GB SSD, scalable 1TB SSD Solid State Drive, 10000mAh high Battery Life, Windows 10 Pro",$368.00,3.1 out of 5 stars,14,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0893920GCWKVV1RBH6Z&url=%2FQuad-core-celeron_j4115-Processor-scalable-10000mAh%2Fdp%2FB08GY11KYR%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273237%26sr%3D8-38-spons%26psc%3D1&qualifier=1607273237&id=6093033113580757&widgetName=sp_btf
"2020 Lenovo IdeaPad S340 Laptop, 15.6"" FHD (1920 x 1080) Touchscreen, Intel 10th Gen Core i3-1005G1, 8GB RAM, 256GB 2242 SSD, Windows 10 (Renewed)",$529.00,4.7 out of 5 stars,7,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0223842F94I2BEQ1B6J&url=%2FLenovo-IdeaPad-S340-Touchscreen-i3-1005G1%2Fdp%2FB08D8KY3QS%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273254%26sr%3D8-49-spons%26psc%3D1&qualifier=1607273254&id=4875104117193096&widgetName=sp_atf_next
LEVEN Lares 8GB DDR4-2400MHz PC4-19200 260-Pin SO-DIMM CL17 Laptop Notebook RAM Memory Module (JR4SL2400172408-8M),$22.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A10227882SQF4K0IF0E1D&url=%2FLEVEN-DDR4-2400MHz-PC4-19200-Notebook-JR4SL2400172408-8M%2Fdp%2FB08NCZL1KR%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273254%26sr%3D8-50-spons%26psc%3D1&qualifier=1607273254&id=4875104117193096&widgetName=sp_atf_next
"Newest HP 14"" HD Premium Business Laptop PC | 10th Gen Intel Quad-Core i5-1035G1 up to 3.6GHz | 8GB RAM | 256GB SSD | WiFi | HDMI | Card Reader | Bluetooth | Windows 10 | Silver",$564.00,4.2 out of 5 stars,131,https://www.amazon.com/HP-Business-Quad-Core-i5-1035G1-Bluetooth/dp/B07ZV8LQSC/ref=sr_1_51?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-51
"Newest HP 15.6inch Lightweight Laptop, Intel Quad-Core i5-1035G1 Processor Up to 3.60 GHz, 8GB DDR4 RAM, 256GB SSD + 16GB Optane, HDMI, Bluetooth, Win 10-Silver (Renewed)",$489.99,4.1 out of 5 stars,25,https://www.amazon.com/HP-15-6inch-Lightweight-Laptop-Quad-Core/dp/B08FCTXKFB/ref=sr_1_52?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-52
"Asus TUF FX505DT 15.6-inch FHD Gaming Laptop, AMD Quad Core Ryzen 5 3550H, Nvidia Geforce GTX 1650 4GB Graphics, 8GB DDR4 RAM, 256GB Solid State Drive, RGB Backlit Keyboard, Windows 10 Home, Black",$689.00,4.8 out of 5 stars,7,https://www.amazon.com/Asus-TUF-15-6-inch-Laptop-Graphics/dp/B08KRMGBC2/ref=sr_1_54?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-54
"Lenovo ideapad S340 15.6"" IPS Laptop, Intel Core i3-8145U Dual-Core Processor, 8GB Memory, 128GB Solid State Drive, Windows 10, Blue[Renewed]",$409.99,4.4 out of 5 stars,120,https://www.amazon.com/Lenovo-ideapad-i3-8145U-Dual-Core-Processor/dp/B07ZW32L75/ref=sr_1_55?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-55
"HP Pavilion Gaming 15-Inch Micro-Edge Laptop, Intel Core i5-9300H Processor, NVIDIA GeForce GTX 1650 (4 GB), 8 GB SDRAM, 256 GB SSD, Windows 10 Home (Shadow Black/Acid Green)",$679.21,4.8 out of 5 stars,13,https://www.amazon.com/HP-Pavilion-Micro-Edge-i5-9300H-Processor/dp/B08FCQ86F7/ref=sr_1_57?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-57
"2020 Newest HP x360 2-in-1 14-inch FHD Touchscreen Chromebook 10th Gen. Intel Core i3-10110U, 8GB RAM, 64GB eMMC, B&O Audio, WiFi 6, Backlit Keyboard, Fingerprint Reader - Mineral Silver",$499.90,4.6 out of 5 stars,313,https://www.amazon.com/HP-Touchscreen-Chromebook-i3-10110U-Fingerprint/dp/B08CS54DNG/ref=sr_1_58?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-58
EAZOR 8GB USB 2.0 Flash Drive USB Stick Thumb Drive Rotated Design Memory Stick for PC/Laptop/External Storage Data Jump Drive Photo Stick Digital for Photos/Videos(8GB 5 Pack Mix Color),$12.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A09226391BVSGN7L7Z1Y1&url=%2FRotated-Design-External-Storage-Digital%2Fdp%2FB08M3VTD99%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273254%26sr%3D8-59-spons%26psc%3D1&qualifier=1607273254&id=4875104117193096&widgetName=sp_mtf
"Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 6GB RAM 64GB eMMC Gigabit Wi-Fi - XE310XBA-K03US",$279.99,4.5 out of 5 stars,"1,007",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A05154163PT0U9C3EZ0NX&url=%2FSamsung-Chromebook-Celeron-Processor-Gigabit%2Fdp%2FB07XQQS439%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273254%26sr%3D8-60-spons%26psc%3D1&qualifier=1607273254&id=4875104117193096&widgetName=sp_mtf
"2020 Newest Lenovo IdeaPad 3 Laptop, 14"" Full HD Narrow-Bezel Screen, AMD Ryzen 3 3250U Dual-Core Processor, 8GB DDR4 Memory, 1TB Hard Disk Drive, Webcam, HDMI, Wi-Fi, Windows 10 Home, Abyss Blue",$439.97,3.7 out of 5 stars,6,https://www.amazon.com/Lenovo-IdeaPad-Narrow-Bezel-Dual-Core-Processor/dp/B08G1WL7TJ/ref=sr_1_61?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-61
"2019 Dell Inspiron 3593 Laptop 15.6"", 10th Generation Intel Core i5-1035G1 Processor, 8GB DDR4 RAM 256GB Solid State Drive, HDMI, WiFi, Bluetooth, Windows 10, Black",$639.00,,,https://www.amazon.com/Dell-Generation-i5-1035G1-Processor-Bluetooth/dp/B07YXWWMRL/ref=sr_1_62?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-62
"HP 15 Laptop, 15.6"" HD Display, Intel Core I5-8265U, Intel UHD Graphics, 8GB, 256GB SSD, Natural Silver",$583.99,4.5 out of 5 stars,46,https://www.amazon.com/HP-Display-I5-8265U-Graphics-Natural/dp/B07T4LQ7L2/ref=sr_1_63?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-63
HP Pavilion 13 i3-8145U 8GB 128GB SSD 13.3-inch 1920x1080 Fingerprint Reader Windows 10 Laptop (Renewed),$409.99,4.7 out of 5 stars,38,https://www.amazon.com/HP-Pavilion-13-3-inch-1920x1080-Fingerprint/dp/B07Q221T75/ref=sr_1_64?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-64
"2020 ASUS VivoBook 15 15.6 Inch FHD 1080P Laptop (AMD Ryzen 3 3200U up to 3.5GHz, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 3, Backlit Keyboard, FP Reader, WiFi, Bluetooth, HDMI, Windows 10) (Grey)",$519.00,4.5 out of 5 stars,189,https://www.amazon.com/ASUS-VivoBook-Backlit-Keyboard-Bluetooth/dp/B07Y5PDX7D/ref=sr_1_65?dchild=1&keywords=laptop+8gb&qid=1607273254&sr=8-65
